
03-JAN-00,Cybertech,Khandwala,Long Term Buy,550.26,NA,31.75,-94.23,-98.88,NA
05-JAN-00,Swaraj Engin,Khandwala,Outperformer,204.80,NA,900.00,339.45,-15.26,NA
07-JAN-00,Pentamedia,SMIFS,Daily Report - Buy,1112.66,NA,0.64,-99.94,-99.99,NA
18-JAN-00,Silverline T,Khandwala,Reiterate Our Buy,682.00,NA,2.19,-99.68,-99.94,NA
18-JAN-00,Nrbbearing,Khandwala,Strong Buy,11.60,NA,106.00,813.79,79.74,NA
19-JAN-00,Pentamedia,SMIFS,Daily Report - Buy,1164.57,NA,0.64,-99.95,-99.99,NA
24-JAN-00,Wipro Ltd.,SMIFS,Daily Report-buy,325.73,NA,544.15,67.06,-67.18,NA
24-JAN-00,Quintegra Solu,Khandwala,Good Medium Term Bet,447.20,NA,0.75,-99.83,-99.97,NA
25-JAN-00,Dr. Reddy,KR Choksey,Emerging Stronger,370.00,NA,3541.15,857.07,84.92,NA
30-JAN-00,Max India L.,BussLine,Will All The Changing Help?,42.34,NA,483.65,1042.30,119.40,NA
30-JAN-00,Polaris,BussLine,Banking On Fundamentals - Hold,610.49,NA,157.75,-74.16,-95.04,NA
30-JAN-00,Eihotel,BussLine,Check In And Generate Returns - Buy,20.13,NA,97.55,384.60,-6.92,NA
30-JAN-00,Wartsila In,BussLine,Check In And Generate Returns - Buy,197.00,NA,610.90,210.10,-40.44,NA
30-JAN-00,Henkel Spic,BussLine,Cleaning Up Its Act,66.60,NA,32.70,-50.90,-90.57,NA
30-JAN-00,Asian Paints,BussLine,Several Shades Better,20.05,NA,754.45,3662.84,622.72,NA
01-FEB-00,Ushamar,SMIFS,Buy,46.85,NA,19.75,-57.84,-92.09,NA
02-FEB-00,Sundram Fas,KR Choksey,Way Ahead Of Its Time - Buy,36.25,NA,151.30,317.38,-20.30,NA
03-FEB-00,Cyien,KR Choksey,Dawn Of A New Era In It - Strong Buy,245.71,NA,568.20,131.25,-55.55,NA
04-FEB-00,Tata Com ,KR Choksey,Portal - New Dimension To Valuations - Strong Buy,751.95,NA,443.20,-41.06,-88.73,NA
06-FEB-00,Pfizer Ltd.,BussLine,Lots Of Vitamins, Yet...,580.00,NA,2022.70,248.74,-33.30,NA
06-FEB-00,Wyeth ,BussLine,Take A Shot,445.00,NA,1344.00,202.02,-42.23,NA
