
01-JAN-03,Andhra Bank,KR Choksey,Outperformer,21.00,NA,70.00,233.33,-59.67,NA
02-JAN-03,Reliance,KR Choksey,Outperformer,146.50,NA,1005.75,586.52,-17.56,NA
02-JAN-03,Ong Corp ,HDFC Sec,Market Outperformer,60.38,NA,313.70,419.54,-37.61,NA
02-JAN-03,Mtnl,Refco-Sify,Sell,93.55,NA,16.60,-82.26,-97.87,NA
03-JAN-03,Bhel,KR Choksey,Market Performer,17.02,NA,256.95,1409.69,80.90,NA
03-JAN-03,Birla Power,LKP,Buy,1.38,NA,0.09,-93.48,-99.22,NA
03-JAN-03,Kddl ,LKP,Buy,12.60,NA,280.00,2122.22,166.27,NA
03-JAN-03,Mro-tek,LKP,Buy,20.20,NA,11.60,-42.57,-93.12,NA
03-JAN-03,Bharatgear,LKP,Buy,10.15,NA,68.00,569.95,-19.72,NA
03-JAN-03,Relmedia,LKP,Buy,52.37,NA,59.80,14.19,-86.32,NA
03-JAN-03,Balaji Tele,LKP,Buy,82.85,NA,71.15,-14.12,-89.71,NA
05-JAN-03,Jindalstel,Pioneer,Buy,5.64,NA,87.95,1459.40,86.85,NA
06-JAN-03,Intens Tech,KR Choksey,Outperformer,54.10,NA,62.85,16.17,-86.17,NA
06-JAN-03,Bankindia,Advani,Firmsight - Buy,35.55,NA,179.65,405.34,-39.86,NA
06-JAN-03,Styabs,Aarnik,Buy,78.00,NA,586.50,651.92,-10.51,NA
06-JAN-03,Balaji Tele,IBL,Buy,81.90,NA,71.15,-13.13,-89.66,NA
06-JAN-03,Relmedia,HDFC Sec,Market Outperformer,52.23,NA,59.80,14.49,-86.37,NA
07-JAN-03,Nationalum,KR Choksey,Fy03 Results Update,22.49,NA,40.00,77.86,-78.86,NA
07-JAN-03,Cmi Fpe,KR Choksey,Outperformer,36.00,NA,419.30,1064.72,38.44,NA
07-JAN-03,Bajajhldng,Pioneer,Buy,495.00,NA,1455.00,193.94,-65.06,NA
07-JAN-03,Great Easte,Pioneer,Buy,35.00,NA,341.10,874.57,15.84,NA
08-JAN-03,Crisil ,KR Choksey,Market Performer,28.93,NA,1980.00,6744.11,720.16,NA
09-JAN-03,Shree Cemen,Refco-Sify,Buy,53.55,NA,11411.00,21209.06,2473.59,NA
10-JAN-03,Bharti Artl,KR Choksey,Market Performer,10.38,NA,424.50,3989.60,390.24,NA
10-JAN-03,Heromotoco,HDFC Sec,Results Update - 2q Fy03 Results,250.50,NA,2516.00,904.39,20.40,NA
10-JAN-03,Infosys ,HDFC Sec,Results Update - 3q Fy03 Results,138.63,NA,997.70,619.69,-13.73,NA
13-JAN-03,Lupin ,KR Choksey,Market Performer,16.41,NA,1877.70,11342.41,1258.66,NA
13-JAN-03,Infosys ,Refco-Sify,Buy,133.94,NA,997.70,644.89,-11.55,NA
14-JAN-03,Blue Dart Ex,KR Choksey,Outperformer,68.75,NA,6305.50,9071.64,991.71,NA
14-JAN-03,Heromotoco,Pioneer,Sell,245.90,NA,2516.00,923.18,21.79,NA
15-JAN-03,Kansainer,KR Choksey,Outperformer,4.82,NA,218.95,4442.53,444.32,NA
15-JAN-03,Bajajhldng,HDFC Sec,Results Update - 3q Fy2003 Results,508.50,NA,1455.00,186.14,-65.71,NA
15-JAN-03,Mastek,HDFC Sec,Results Update - 2q Fy03 Results,285.43,NA,198.40,-30.49,-91.67,NA
16-JAN-03,Infosys ,KR Choksey,Outperformer,144.23,NA,997.70,591.74,-16.72,NA
16-JAN-03,Asian Paints,LKP,Buy,22.40,NA,762.00,3301.79,309.55,NA
17-JAN-03,Heromotoco,KR Choksey,Market Performer,245.30,NA,2516.00,925.68,23.37,NA
18-JAN-03,Acc ,LKP,Buy,157.55,NA,1465.55,830.21,11.89,NA
18-JAN-03,Bharat Forge,Pioneer,Buy,45.33,NA,1108.50,2345.40,194.14,NA
20-JAN-03,Mphasis ,KR Choksey,Outperformer,91.52,NA,410.70,348.75,-46.48,NA
20-JAN-03,Bajajhldng,Pioneer,Buy,529.10,NA,1455.00,175.00,-67.20,NA
20-JAN-03,Ranbaxy Lab ,Pioneer,Buy,322.65,NA,859.90,166.51,-68.21,NA
20-JAN-03,Glenmark Pha,Pioneer,Buy,12.45,NA,1018.20,8078.31,875.38,NA
20-JAN-03,Acc ,Pioneer,Sell,150.05,NA,1465.55,876.71,16.49,NA
21-JAN-03,Mah Seamless,KR Choksey,Initiating Coverage,76.50,NA,195.00,154.90,-69.49,NA
21-JAN-03,Abb,LKP,Buy,55.66,NA,1330.20,2289.87,186.07,NA
22-JAN-03,Asian Paints,KR Choksey,Outperformer,22.40,NA,762.00,3301.79,307.55,NA
22-JAN-03,Cipla Ltd.,Pioneer,Buy,67.20,NA,633.25,842.34,12.90,NA
22-JAN-03,Marico ,Khandwala,Neutral,8.65,NA,446.35,5060.12,518.21,NA
23-JAN-03,Bharat Forge,KR Choksey,Outperformer,47.15,NA,1108.50,2251.01,179.24,NA
23-JAN-03,Jindal.iron,Pioneer,Buy,79.95,NA,292.60,265.98,-56.53,NA
23-JAN-03,Tata Motors,HDFC Sec,Results Update - 3q Fy03 Result,31.35,NA,444.80,1318.82,68.52,NA
24-JAN-03,Glenmark Pha,KR Choksey,Outperformer,11.70,NA,1018.20,8602.56,921.13,NA
24-JAN-03,Ashok Leyln,HDFC Sec,Results Update - 3q Fy03 Results,4.86,NA,74.10,1424.69,78.90,NA
24-JAN-03,Britania In,Khandwala,Hold,102.78,NA,2732.75,2558.83,211.98,NA
24-JAN-03,Mahindra Sa,HDFC Sec,Results Update - 3q Fy03 Results,114.17,NA,115.30,0.99,-88.15,NA
25-JAN-03,Tatasteel,HDFC Sec,Market Outperformer,91.93,NA,306.55,233.46,-60.87,NA
26-JAN-03,Tataglobal,HDFC Sec,Market Outperformer,16.91,NA,135.30,700.12,-6.12,NA
27-JAN-03,Bajajhldng,KR Choksey,Outperformer,512.65,NA,1455.00,183.82,-67.10,NA
27-JAN-03,Hindalco In,ILFS,Buy,52.03,NA,113.10,117.37,-74.81,NA
27-JAN-03,Jindalstel,Pioneer,Buy,6.20,NA,87.95,1318.55,64.41,NA
27-JAN-03,Tatasteel,Pioneer,Buy,90.19,NA,306.55,239.89,-60.61,NA
28-JAN-03,H D F C Bank,KR Choksey,Market Performer,46.26,NA,1071.70,2216.69,170.18,NA
28-JAN-03,Grasim In,ILFS,Buy,325.35,NA,3516.40,980.81,26.05,NA
28-JAN-03,Tataglobal,ILFS,Buy,16.14,NA,135.30,738.29,-2.24,NA
28-JAN-03,Jbchepharm,Pioneer,Buy,36.30,NA,239.20,558.95,-23.15,NA
28-JAN-03,Grasim In,LKP,Sell,325.35,NA,3516.40,980.81,26.05,NA
29-JAN-03,Tata Chem,KR Choksey,Outperformer,59.45,NA,436.75,634.65,-15.11,NA
29-JAN-03,Nsil,HDFC Sec,Outperformer,153.40,NA,615.00,300.91,-53.67,NA
29-JAN-03,Dr. Reddy,ILFS,Buy,454.13,NA,3567.70,685.61,-9.22,NA
29-JAN-03,Jindalstel,HDFC Sec,Market Outperformer,6.18,NA,87.95,1323.14,64.45,NA
29-JAN-03,Bharat Petro,HDFC Sec,Outperform,97.20,NA,887.45,813.01,5.51,NA
29-JAN-03,Tata Motors,Pioneer,Buy,29.23,NA,444.80,1421.72,75.85,NA
29-JAN-03,Eicher Motor,HDFC Sec,Results Update - 3q Fy03 Results,83.15,NA,20338.10,24359.53,2726.48,NA
30-JAN-03,Ranbaxy Lab ,KR Choksey,Outperformer,324.15,NA,859.90,165.28,-69.52,NA
30-JAN-03,Zeel,LKP,Buy,39.88,NA,363.75,812.11,4.81,NA
30-JAN-03,Hindunilvr,Khandwala,Hold,170.25,NA,917.25,438.77,-38.09,NA
31-JAN-03,Ranbaxy Lab ,KR Choksey,Outperformer,325.07,NA,859.90,164.53,-69.32,NA
31-JAN-03,Tatasteel,KR Choksey,Outperformer,89.69,NA,306.55,241.79,-60.35,NA
31-JAN-03,Ashok Leyln,Pioneer,Buy,4.75,NA,74.10,1460.00,80.96,NA
31-JAN-03,Nationalum,ILFS,Buy,21.90,NA,40.00,82.65,-78.81,NA
31-JAN-03,Gskcons,ILFS,Sell,259.15,NA,6185.90,2287.00,176.89,NA
31-JAN-03,Digi Globals,LKP,Buy,578.00,NA,835.00,44.46,-83.24,NA
01-FEB-03,Orientbank,SKP,Accumulate,53.40,NA,174.00,225.84,-62.20,NA
03-FEB-03,Tata Motors,KR Choksey,Outperformer,30.08,NA,444.80,1378.72,73.08,NA
03-FEB-03,Dr. Reddy,Pioneer,Hold,457.30,NA,3567.70,680.17,-8.68,NA
03-FEB-03,Ambujacem,Pioneer,Buy,21.42,NA,237.20,1007.38,29.62,NA
03-FEB-03,Sun Pharma,Fortis,Buy,14.38,NA,873.00,5970.93,610.60,NA
03-FEB-03,Tvs Motor ,Pioneer,Buy,251.80,NA,245.55,-2.48,-88.59,NA
04-FEB-03,Siemens,KR Choksey,Outperformer,31.41,NA,1382.90,4302.74,415.07,NA
04-FEB-03,,ILFS,Sell,31.41,NA,1809.80,5661.86,574.07,NA
04-FEB-03,Ambujacem,ILFS,Sell,21.35,NA,237.20,1011.01,29.98,NA
04-FEB-03,Cranessof,Pioneer,Buy,10.57,NA,1.89,-82.12,-97.91,NA
04-FEB-03,Hindpetro,HDFC Sec,Results Update - 3q Fy03 Results,302.10,NA,737.65,144.17,-71.43,NA
04-FEB-03,Ong Corp ,HDFC Sec,Results Update - 3q Fy03 Results,60.64,NA,313.70,417.32,-39.48,NA
04-FEB-03,Tvs Motor ,ILFS,Hold,252.57,NA,245.55,-2.78,-88.63,NA
05-FEB-03,Visualsof,KR Choksey,Outperformer,196.35,NA,79.90,-59.31,-95.27,NA
05-FEB-03,Avon Organic,Pioneer,Hold,31.10,NA,27.00,-13.18,-89.91,NA
06-FEB-03,Hindunilvr,KR Choksey,Market Performer,167.70,NA,917.25,446.96,-35.48,NA
07-FEB-03,Andhra Bank,KR Choksey,Outperformer,27.85,NA,70.00,151.35,-70.58,NA
10-FEB-03,Dr. Reddy,KR Choksey,Market Performer,452.55,NA,3567.70,688.35,-8.37,NA
10-FEB-03,Bhel,Fortis,Market Outperformer,20.19,NA,256.95,1172.66,47.92,NA
11-FEB-03,C M C ,KR Choksey,Market Performer,251.20,NA,2005.00,698.17,-7.10,NA
11-FEB-03,Bharat Forge,Fortis,Market Outperformer,49.00,NA,1108.50,2162.24,163.31,NA
12-FEB-03,Reliance,KR Choksey,Out Performer,140.72,NA,1005.75,614.72,-17.17,NA
13-FEB-03,Indhotel,KR Choksey,Market Performer,18.01,NA,95.45,429.98,-38.58,NA
14-FEB-03,Ong Corp ,KR Choksey,Outperformer,60.23,NA,313.70,420.84,-40.08,NA
14-FEB-03,Kansainer,ILFS,Not Rated,4.87,NA,218.95,4395.89,417.19,NA
17-FEB-03,Indian Petrochemicals Corp. ,KR Choksey,Outperformer,91.20,NA,483.10,429.71,-37.95,NA
17-FEB-03,Tatasteel,ILFS,Hold,90.37,NA,306.55,239.22,-60.26,NA
18-FEB-03,Divis Lab,KR Choksey,Outperformer,0.00,NA,1867.30,0.00,-88.26,NA
19-FEB-03,Nationalum,KR Choksey,Outperformer,22.55,NA,40.00,77.38,-79.10,NA
19-FEB-03,Great Easte,HDFC Sec,Market Outperformer,36.45,NA,341.10,835.80,10.28,NA
19-FEB-03,Divis Lab,Fortis,Subscribe,0.00,NA,1867.30,0.00,-88.22,NA
19-FEB-03,Tatasteel,HDFC Sec,Market Outperformer,92.05,NA,306.55,233.03,-60.76,NA
19-FEB-03,21stcenmgm,HDFC Sec,Outperformer,1.20,NA,39.80,3216.67,290.84,NA
20-FEB-03,Thomas Cook,KR Choksey,Outperformer,21.69,NA,229.60,958.55,24.79,NA
20-FEB-03,Tvs Motor ,HDFC Sec,Underperformer,257.80,NA,245.55,-4.75,-88.77,NA
21-FEB-03,Sbin,KR Choksey,Outperformer,29.34,NA,267.60,812.07,7.65,NA
25-FEB-03,Accelya,KR Choksey,Update- Q3 Fy03 Results,32.85,NA,1002.00,2950.23,257.26,NA
25-FEB-03,Dr. Reddy,ILFS,Buy,438.05,NA,3567.70,714.45,-4.61,NA
26-FEB-03,Mrf ,KR Choksey,Update- December 02 Results,880.10,NA,34815.00,3855.80,360.29,NA
26-FEB-03,Sanofi,ILFS,Buy,264.70,NA,3501.00,1222.63,53.90,NA
26-FEB-03,Tataglobal,HDFC Sec,Outperformer,17.85,NA,135.30,657.98,-11.80,NA
27-FEB-03,H D F C Bank,KR Choksey,Update: Q3 Fy`03 Results,49.69,NA,1071.70,2056.77,152.26,NA
27-FEB-03,Tata Motors,ILFS,Buy,31.39,NA,444.80,1317.01,65.73,NA
28-FEB-03,Pfizer Ltd.,ILFS,Quarterly Result Update,346.10,NA,1998.55,477.45,-32.33,NA
03-MAR-03,Thomas Cook,KR Choksey,Update: Q1 Fy04 Results,21.29,NA,229.60,978.44,26.13,NA
03-MAR-03,Pfizer Ltd.,KR Choksey,Annual Results Update,342.85,NA,1998.55,482.92,-31.82,NA
04-MAR-03,Auropharma,KR Choksey,Q3 Results Update,23.25,NA,1464.25,6197.85,629.29,NA
04-MAR-03,Tamilnadu N P,Fortis,Outperformer,43.30,NA,159.00,267.21,-57.48,NA
05-MAR-03,,KR Choksey,Update: Q3 Fy?03 Results,32.64,NA,1809.80,5444.73,538.38,NA
06-MAR-03,Cadila Heal,KR Choksey,Q3 Fy 03 Results Update,40.20,NA,1825.45,4440.92,417.01,NA
07-MAR-03,Ingerran,KR Choksey,Update: Q3 Fy`03 Results,208.00,NA,972.80,367.69,-47.37,NA
08-MAR-03,Kansainer,Aarnik,Buy,4.69,NA,218.95,4568.44,425.32,NA
10-MAR-03,Nestlein,KR Choksey,Update: Fy?02 Results,533.30,NA,6140.40,1051.40,28.44,NA
10-MAR-03,Tataglobal,ILFS,Buy,17.71,NA,135.30,663.98,-14.77,NA
10-MAR-03,Nestlein,ILFS,Buy,533.30,NA,6140.40,1051.40,28.44,NA
11-MAR-03,Glaxo,KR Choksey,Update: Q3 Fy?03 Results,296.40,NA,3306.95,1015.71,25.62,NA
12-MAR-03,Grasim In,KR Choksey,Q3fy`03 Results Update,332.05,NA,3516.40,959.00,17.54,NA
12-MAR-03,Heromotoco,HDFC Sec,Underperformer,219.60,NA,2516.00,1045.72,27.17,NA
13-MAR-03,I T C ,KR Choksey,Update: Q3 Fy`03 Results,21.16,NA,313.75,1382.75,64.48,NA
13-MAR-03,Boschl,ILFS,Conference Call Highlights,380.10,NA,22012.40,5691.21,542.40,NA
17-MAR-03,Neyveli Lig,KR Choksey,Update: Q3 Fy`03 Results,25.50,NA,82.20,222.35,-64.51,NA
19-MAR-03,Burrough Wel,KR Choksey,Annual Results Update,226.25,NA,897.20,296.55,-55.83,NA
20-MAR-03,Tata Motors,KR Choksey,Q3 Fy`03 Results Update,30.54,NA,444.80,1356.45,65.96,NA
20-MAR-03,Glaxo,ILFS,4q Results &amp; Earnings Revision,296.20,NA,3306.95,1016.46,27.22,NA
20-MAR-03,Bhel,Fortis,Buy,21.73,NA,256.95,1082.47,34.74,NA
21-MAR-03,Tataglobal,KR Choksey,Update: Q3 Fy`03 Results,17.87,NA,135.30,657.13,-13.53,NA
21-MAR-03,Hindunilvr,Khandwala,Buy,162.35,NA,917.25,464.98,-35.48,NA
24-MAR-03,Gujarat Gas,KR Choksey,Fy`02 Result Update,41.50,NA,745.60,1696.63,101.35,NA
25-MAR-03,Ashok Leyln,KR Choksey,Q3 Fy`03 Results Update,4.93,NA,74.10,1403.04,68.45,NA
25-MAR-03,Tataglobal,ILFS,Update: Tetley Declares Dividend,18.34,NA,135.30,637.73,-17.32,NA
26-MAR-03,21stcenmgm,KR Choksey,Update: 9- M Fy` 03,1.10,NA,39.80,3518.18,305.91,NA
27-MAR-03,Blue Dart Ex,KR Choksey,Update: 9-m Fy`03,59.70,NA,6305.50,10461.98,1074.82,NA
28-MAR-03,Torntpharm,KR Choksey,Update : Q3 Fy 03 Results,20.13,NA,1320.00,6457.38,629.07,NA
31-MAR-03,Divis Lab,KR Choksey,Special Coverage- Book Profits,21.97,NA,1867.30,8399.32,824.74,NA
01-APR-03,Abb,KR Choksey,Annual Results Update,58.35,NA,1330.20,2179.69,150.66,NA
01-APR-03,Bhel,Fortis,Buy,22.36,NA,256.95,1049.15,26.35,NA
02-APR-03,Niitl,KR Choksey,Initiating Coverage,13.49,NA,42.75,216.90,-64.75,NA
03-APR-03,Indorama,CD Equisearch,Buy,29.55,NA,38.40,29.95,-85.39,NA
03-APR-03,Skfindia,Phoenix,Buy,44.70,NA,1423.00,3083.45,258.00,NA
03-APR-03,Ingerran,Fortis,Buy,197.00,NA,972.80,393.81,-44.47,NA
03-APR-03,Inform Tech,HDFC Sec,Research,1.05,NA,1.05,0.00,-88.75,NA
03-APR-03,Bajajhldng,Fortis,Buy,487.85,NA,1455.00,198.25,-66.46,NA
04-APR-03,Intens Tech,KR Choksey,Update : Q3 Fy`03 Results,44.80,NA,62.85,40.29,-84.14,NA
04-APR-03,Andhra Bank,SKP,Buy,30.45,NA,70.00,129.89,-74.01,NA
07-APR-03,Cmi Fpe,KR Choksey,Update: Q3fy`03 Results,34.20,NA,419.30,1126.02,40.68,NA
07-APR-03,Vesuviusinda,Fortis,Buy,66.30,NA,685.50,933.94,18.64,NA
08-APR-03,Nationalum,KR Choksey,Q3fy`03 Results Update,21.39,NA,40.00,87.00,-78.81,NA
09-APR-03,Essel Propack,KR Choksey,Update: Fy` 02 Results,28.10,NA,132.10,370.11,-47.30,NA
09-APR-03,Jubilan,Pioneer,Buy,29.98,NA,168.90,463.38,-36.84,NA
09-APR-03,Samtel Col,Pioneer,Buy,19.90,NA,0.49,-97.54,-99.72,NA
09-APR-03,Mastek,Phoenix,Sell,280.10,NA,198.40,-29.17,-92.06,NA
10-APR-03,Gail,KR Choksey,Q3 Fy` 03 Results Update,50.34,NA,390.50,675.73,-15.97,NA
10-APR-03,Infosys ,Khandwala,Buy,95.14,NA,997.70,948.67,13.60,NA
10-APR-03,Mastek,HDFC Sec,Underperformer,142.35,NA,198.40,39.37,-84.90,NA
11-APR-03,Mphasis ,ILFS,Subdued Performance,73.80,NA,410.70,456.50,-40.46,NA
11-APR-03,Heromotoco,ILFS,Tough Road Ahead,205.90,NA,2516.00,1121.95,30.73,NA
12-APR-03,Infosys ,HDFC Sec,4q Fy03 Resulltt Anallysiis,81.80,NA,997.70,1119.68,30.49,NA
12-APR-03,Ambujacem,Pioneer,Buy,21.66,NA,237.20,995.11,17.16,NA
15-APR-03,Ambujacem,KR Choksey,Update: Q3fy` 03 Results Update,22.03,NA,237.20,976.71,15.18,NA
15-APR-03,Ambujacem,ILFS,Quarterly Result Update,22.03,NA,237.20,976.71,15.18,NA
15-APR-03,Infosys ,ILFS,Quarterly Result Update,89.45,NA,997.70,1015.37,19.31,NA
16-APR-03,Abb,KR Choksey,Q1fy`03 Result Update,61.34,NA,1330.20,2068.57,134.67,NA
16-APR-03,Heromotoco,Pioneer,Sell,194.35,NA,2516.00,1194.57,40.09,NA
16-APR-03,Gskcons,ILFS,Sell,228.80,NA,6185.90,2603.63,192.58,NA
16-APR-03,Hindunilvr,ILFS,Buy,147.75,NA,917.25,520.81,-32.82,NA
17-APR-03,Infosys ,KR Choksey,Update: Fy`03 Results,92.68,NA,997.70,976.50,14.66,NA
21-APR-03,Castrolin,KR Choksey,Fy02 Results Update,49.08,NA,434.10,784.47,-5.40,NA
21-APR-03,Wipro Ltd.,HDFC Sec,Research,90.88,NA,552.35,507.78,-34.99,NA
21-APR-03,Beml ,Phoenix,Buy,73.80,NA,1241.40,1582.11,79.91,NA
22-APR-03,Flextronics,KR Choksey,Update: Fy`03 Results,181.25,NA,723.10,298.95,-57.49,NA
23-APR-03,Boschl,KR Choksey,Update: Cy02 Results Update,378.00,NA,22012.40,5723.39,512.52,NA
23-APR-03,Glaxo,Phoenix,Buy,300.30,NA,3306.95,1001.22,15.83,NA
23-APR-03,Smlisuzu,Phoenix,Buy,78.08,NA,1127.50,1344.03,51.89,NA
23-APR-03,Geometric ,Phoenix,Market Outperformer,39.30,NA,117.05,197.84,-68.67,NA
24-APR-03,Hindunilvr,KR Choksey,Update: Q1`03 Results,136.00,NA,917.25,574.45,-29.30,NA
24-APR-03,Nestlein,Phoenix,Equity Research,539.90,NA,6140.40,1037.32,19.22,NA
25-APR-03,Geometric ,KR Choksey,Update: Fy`03 Results,39.70,NA,117.05,194.84,-69.23,NA
25-APR-03,Skfindia,Phoenix,Buy,42.90,NA,1423.00,3217.02,246.14,NA
26-APR-03,Cipla Ltd.,ILFS,4qfy03 Result Update,56.11,NA,633.25,1028.59,17.77,NA
28-APR-03,Indian Petrochemicals Corp. ,KR Choksey,Fy03 Results Update,83.90,NA,483.10,475.80,-39.65,NA
28-APR-03,Sanofi,ILFS,Buy,252.85,NA,3501.00,1284.62,45.11,NA
28-APR-03,Visualsof,Phoenix,Market Performer,136.90,NA,79.90,-41.64,-93.88,NA
28-APR-03,Cipla Ltd.,Khandwala,Sell,50.18,NA,633.25,1161.96,32.26,NA
28-APR-03,Ballarpur,Phoenix,Buy,37.95,NA,13.47,-64.51,-96.28,NA
28-APR-03,Tvs Motor ,Pioneer,Hold,200.70,NA,245.55,22.35,-87.18,NA
28-APR-03,Cipla Ltd.,Pioneer,Buy,50.18,NA,633.25,1161.96,32.26,NA
28-APR-03,Ingerran,Fortis,Buy,199.75,NA,972.80,387.01,-48.96,NA
29-APR-03,Gillette India,KR Choksey,Update: Q1?03 Results,325.70,NA,4574.70,1304.57,47.88,NA
29-APR-03,Ranbaxy Lab ,ILFS,Buy,336.55,NA,859.90,155.50,-73.10,NA
29-APR-03,Glaxo,Khandwala,Buy,320.30,NA,3306.95,932.45,8.70,NA
29-APR-03,Zeel,LKP,Buy,36.08,NA,363.75,908.18,6.14,NA
30-APR-03,Wipro Ltd.,KR Choksey,Update: Fy`03 Results,86.62,NA,552.35,537.67,-32.64,NA
30-APR-03,Grasim In,ILFS,Buy,360.80,NA,3516.40,874.61,2.95,NA
30-APR-03,Tvs Motor ,ILFS,Hold,208.97,NA,245.55,17.50,-87.59,NA
01-MAY-03,Wockpharma,ILFS,Hold,180.85,NA,1424.45,687.64,-16.80,NA
02-MAY-03,Reliance,KR Choksey,Fy03 Results Update,136.75,NA,1005.75,635.47,-22.13,NA
02-MAY-03,Bharat Elec,Phoenix,Buy,249.15,NA,3411.75,1269.36,44.98,NA
02-MAY-03,Bhel,Fortis,Maintain Outperformer,23.20,NA,256.95,1007.54,17.26,NA
02-MAY-03,Ranbaxy Lab ,Pioneer,Buy,337.82,NA,859.90,154.54,-73.05,NA
02-MAY-03,Tcs E-serve,Phoenix,Buy,519.45,NA,940.00,80.96,-80.84,NA
02-MAY-03,Hindalco In,ILFS,Buy,53.48,NA,113.10,111.48,-77.61,NA
03-MAY-03,3m India ,Phoenix,Buy,298.15,NA,8315.00,2688.86,195.26,NA
05-MAY-03,Hind. Zinc,KR Choksey,Fy03 Results Update,1.88,NA,167.90,8830.85,848.35,NA
05-MAY-03,Acc ,ILFS,Hold,132.10,NA,1465.55,1009.42,17.81,NA
05-MAY-03,Paperpro,Phoenix,Buy,22.39,NA,237.00,958.51,12.40,NA
05-MAY-03,Acc ,Pioneer,Buy,132.10,NA,1465.55,1009.42,17.81,NA
06-MAY-03,Crisil ,KR Choksey,Update: Fy`03 Results,26.90,NA,1980.00,7260.59,686.21,NA
06-MAY-03,Century Enka,Phoenix,Buy,78.30,NA,158.20,102.04,-78.42,NA
