
21-JUL-06,Tatasteel,Angel,Buy,427.36,517.91,306.55,-28.27,-74.18,Pending
21-JUL-06,Mahindra Sa,Emkay,Result Update,343.30,411.50,115.30,-66.41,-87.91,Pending
21-JUL-06,Union Bank,Karvy,Buy,85.80,178.00,155.95,81.76,-34.58,Pending
21-JUL-06,3i Infotech,Karvy,Outperformer,67.97,120.00,5.15,-92.42,-97.27,Pending
22-JUL-06,Mahindra Sa,Angel,Buy,343.30,481.00,115.30,-66.41,-87.91,Pending
24-JUL-06,Niit Techno,HDFC Sec,Results Review,120.76,NA,387.10,220.55,16.86,NA
24-JUL-06,Dredgecorp,Karvy,Buy,475.10,597.00,361.10,-23.99,-72.29,Pending
24-JUL-06,Bajajhin,Brics,Result Update,320.04,465.76,13.40,-95.81,-98.47,Pending
24-JUL-06,Emco ,Brics,Buy,82.16,134.80,29.00,-64.70,-87.13,Pending
24-JUL-06,Laxmimach,Emkay,Result Update,1559.95,NA,3715.80,138.20,-13.16,NA
24-JUL-06,Bajajhin,Karvy,Outperformer,320.04,409.50,13.40,-95.81,-98.47,Pending
24-JUL-06,Gateway Dis,Karvy,Buy,123.48,224.00,355.30,187.74,4.90,Achieved
24-JUL-06,Contain Corp,Karvy,Market Performer,486.69,516.69,1718.50,253.10,28.73,Achieved
24-JUL-06,Varun Shipng,Karvy,Buy,61.60,116.00,11.25,-81.74,-93.34,Pending
25-JUL-06,Jbchepharm,HDFC Sec,Results Preview,83.10,NA,239.20,187.85,6.99,NA
25-JUL-06,Prithvi Info,Angel,Buy,259.05,564.00,1.29,-99.50,-99.81,Pending
25-JUL-06,Subros,Angel,Buy,38.06,48.00,60.60,59.22,-40.82,Achieved
25-JUL-06,Tvs Motor ,Angel,Result Update,39.95,48.00,245.55,514.64,128.47,Achieved
25-JUL-06,Glenmark Pha,Brics,Buy,154.53,200.50,1018.20,558.90,144.92,Achieved
25-JUL-06,Vtl,Emkay,Buy,266.10,NA,677.20,154.49,-5.40,NA
